answer,clue
ALLUVIUM,'clay or silt or gravel carried by rushing streams and deposited where the stream slows down'
ORZO,'pasta shaped like pearls of barley
GRANTOR,'a person who makes a grant in legal form
HEADLINE,'the heading or caption of a newspaper article'
FALANGA,'a form of torture in which the soles of the feet are beaten with whips or cudgels'
SKELETON,'a scandal that is kept secret
DIABETES,'a polygenic disease characterized by abnormally high glucose levels in the blood
RESORCINOL,'a crystalline phenol obtained from various resins
COOPERATOR,'an associate in an activity or endeavor or sphere of common interest
COCKUP,'something badly botched or muddled'
WISENT,'European bison having a smaller and higher head than the North American bison'
ALLEGORIZER,'someone who communicates in allegories'
LIBRATION,'(astronomy) a real or apparent slow oscillation of a moon or satellite
JOURNEY,'the act of traveling from one place to another'
ASSIGNING,'the act of distributing something to designated places or persons
DIPLOMATE,'medical specialist whose competence has been certified by a diploma granted by an appropriate professional group'
OFFERTORY,'the offerings of the congregation at a religious service'
SHIKSE,'a derogatory term used by Jews to refer to non-Jewish women'
LORAZEPAM,'tranquilizer (trade name Ativan) used to treat anxiety and tension and insomnia'
SINAPISM,'a plaster containing powdered black mustard
HEMIMETABOLY,'incomplete or partial metamorphosis in insects'
SPOUSE,'a person\'s partner in marriage'
VISCUS,'a main organ that is situated inside the body'
ROCKERS,'originally a British youth subculture that evolved out of the teddy boys in the 1960s
ENCAUSTIC,'a paint consisting of pigment mixed with melted beeswax
JAPERY,'acting like a clown or buffoon'
ROGATION,'a solemn supplication ceremony prescribed by the church'
FEROCITY,'the property of being wild or turbulent
ESSAY,'an analytic or interpretive literary composition'
PLACER,'an alluvial deposit that contains particles of some valuable mineral'
EDGING,'border consisting of anything placed on the edge to finish something (such as a fringe on clothing or on a rug)'
GLOAMING,'the time of day immediately following sunset
VARUS,'a deformity in which part of a limb is turned inward to an abnormal degree'
FRONTAGE,'the extent of land abutting on a street or water'
DEPORTEE,'a person who is expelled from home or country by authority'
OSTENSORIUM,'(Roman Catholic Church) a vessel (usually of gold or silver) in which the consecrated Host is exposed for adoration'
LIBERATION,'the act of liberating someone or something'
HEROICS,'ostentatious or vainglorious or extravagant or melodramatic conduct
PHILHELLENE,'an admirer of Greece and everything Greek'
ANIMAL,'a living organism characterized by voluntary movement'
GROVE,'a small growth of trees without underbrush'
ALTIMETER,'an instrument that measures the height above ground
WASTELAND,'an uninhabited wilderness that is worthless for cultivation
MOONSEED,'plant of the family Menispermaceae having red or black fruit with crescent- or ring-shaped seeds'
JUVENESCENCE,'the process of growing into a youth'
WEARINESS,'temporary loss of strength and energy resulting from hard physical or mental work
GINEP,'tropical American tree bearing a small edible fruit with green leathery skin and sweet juicy translucent pulp'
METAPHYSICS,'the philosophical study of being and knowing'
POSIT,'(logic) a proposition that is accepted as true in order to provide a basis for logical reasoning'
DEFEAT,'an unsuccessful ending to a struggle or contest
HAEMATURIA,'the presence of blood in the urine
KABALA,'an esoteric or occult matter resembling the Kabbalah that is traditionally secret'
TABIS,'a sock with a separation for the big toe
CORONACH,'a song or hymn of mourning composed or performed as a memorial to a dead person'
ATOM,'(physics and chemistry) the smallest component of an element having the chemical properties of the element'
MOTORBUS,'a vehicle carrying many passengers
WEBFOOT,'a foot having the toes connected by folds of skin'
ALTAZIMUTH,'an instrument that measures the altitude and azimuth of celestial bodies
TEAK,'hard strong durable yellowish-brown wood of teak trees
COMMODE,'a tall elegant chest of drawers'
DEPRESSOR,'any skeletal muscle that draws a body part down'
SLUICEWAY,'conduit that carries a rapid flow of water controlled by a sluicegate'
PEMMICAN,'lean dried meat pounded fine and mixed with melted fat
SPOILING,'the process of becoming spoiled'
PRECIOUSNESS,'the quality of being fastidious or excessively refined'
EXPEDITION,'a military campaign designed to achieve a specific objective in a foreign country'
NATIONALIST,'one who loves and defends his or her country'
COLPOCELE,'hernia projecting into the vagina'
CATAPHATISM,God created Adam `in his own image\')'
VACILLATOR,'one who hesitates (usually out of fear)'
MASTERPIECE,'the most outstanding work of a creative artist or craftsman'
BALAS,'a pale rose-colored variety of the ruby spinel'
BASSINET,'a basket (usually hooded) used as a baby\'s bed'
CHEEK,'either side of the face below the eyes'
NEUTER,'a gender that refers chiefly (but not exclusively) to inanimate objects (neither masculine nor feminine)'
GUERRILLA,'a member of an irregular armed force that fights a stronger force by sabotage and harassment'
SLOGAN,'a favorite saying of a sect or political group'
CENTIMETER,'a metric unit of length equal to one hundredth of a meter'
THIRTIETH,'position 30 in a countable series of things'
PECULATION,'the fraudulent appropriation of funds or property entrusted to your care but actually owned by someone else'
FERMI,'a metric unit of length equal to one quadrillionth of a meter'
PETREL,'relatively small long-winged tube-nosed bird that flies far from land'
DISINFECTANT,'an agent (as heat or radiation or a chemical) that destroys microorganisms that might carry disease'
BOXER,'someone who fights with his fists for sport'
COVERAGE,'the extent to which something is covered
MUCUNA,'any of several erect or climbing woody plants of the genus Mucuna
INVALIDATOR,'an official who can invalidate or nullify
SARABAND,'music composed for dancing the saraband'
DIESIS,'a character used in printing to indicate a cross reference or footnote'
WEDDING,'the social event at which the ceremony of marriage is performed'
RUINER,'a person who destroys or ruins or lays waste to
STUPA,'a dome-shaped shrine erected by Buddhists'
DUETTE,'a musical composition for two performers'
ANIME,'any of various resins or oleoresins'
PREVALENCE,'the quality of prevailing generally
OCTET,'eight people considered as a unit'
BONUS,'anything that tends to arouse
REFRIGERANT,'any substance used to provide cooling (as in a refrigerator)'
ABRACHIA,'the condition of having no arms'
GETTING,'the act of acquiring something
LAPSING,'a failure to maintain a higher state'
SPIRILLA,'any flagellated aerobic bacteria having a spirally twisted rodlike form'
EXCULPATION,'the act of freeing from guilt or blame'
HYDROMETRY,'the measurement of specific gravity'
FOIL,'a piece of thin and flexible sheet metal
TETANILLA,'clinical neurological syndrome characterized by muscular twitching and cramps and (when severe) seizures
PODIUM,'a platform raised above the surrounding level to give prominence to the person on it'
CURATOR,'the custodian of a collection (as a museum or library)'
VINICULTURE,'the cultivation of grapes and grape vines
DESPOILER,'someone who takes spoils or plunder (as in war)'
PATRONAGE,'the act of providing approval and support
VATICINATOR,'an authoritative person who divines the future'
MENDICANT,'a pauper who lives by begging'
AGAMOGENESIS,'reproduction without the fusion of gametes'
TWINJET,'a jet plane propelled by two jet engines'
CALIPH,'the civil and religious leader of a Muslim state considered to be a representative of Allah on earth
HATRACK,'a rack with hooks for temporarily holding coats and hats'
SMOLDER,'a fire that burns with thick smoke but no flame
LEMPIRA,'the basic unit of money in Honduras
POMOLOGY,'the branch of botany that studies and cultivates fruits'
INFANTILISM,'infantile behavior in mature persons'
PULLET,'young hen usually less than a year old'
LOOSENING,'the act of making something less tight'
SLIPOVER,'a sweater that is put on by pulling it over the head'
EDITORIAL,'an article giving opinions or perspectives'
PREOCCUPANCY,'the mental state of being preoccupied by something'
TYRANNID,'a passerine bird of the suborder Tyranni'
BULLA,'the round leaden seal affixed to a papal bull'
DISADVANTAGE,'the quality of having an inferior or less favorable position'
COMPANY,'an institution created to conduct business
MANE,'long coarse hair growing from the crest of the animal\'s neck'
TADALAFIL,'virility drug (trade name Cialis) used to treat erectile dysfunction in men'
CUCKOOFLOWER,'a bitter cress of Europe and America'
DEBATER,'someone who engages in debate'
TELEGRAPH,'apparatus used to communicate at a distance over a wire (usually in Morse code)'
PUKING,'the reflex act of ejecting the contents of the stomach through the mouth'
CEREBRATION,'the process of using your mind to consider something carefully
COURIER,'a person who carries a message'
ISLAND,'a land mass (smaller than a continent) that is surrounded by water'
SECULAR,'someone who is not a clergyman or a professional person'
PEDICEL,'a small stalk bearing a single flower of an inflorescence
UNDERTAKING,'any piece of work that is undertaken or attempted
JAPONICA,'deciduous thorny shrub native to Japan having red blossoms'
KRYPTON,'a colorless element that is one of the six inert gasses
SNORTING,'an act of forcible exhalation'
JOURNALIST,'a writer for newspapers and magazines'
EMBOLISM,'an insertion into a calendar'
QUINTILLION,'the number that is represented as a one followed by 18 zeros'
TIBIALIS,'either of two skeletal muscle in each leg arising from the tibia
MOUSSAKA,'casserole of eggplant and ground lamb with onion and tomatoes bound with white sauce and beaten eggs'
ANXIOLYTIC,'a tranquilizer used to relieve anxiety and reduce tension and irritability'
PROKARYOTE,'a unicellular organism having cells lacking membrane-bound nuclei
ZEBIBYTE,'a unit of information equal to 1024 exbibytes or 2^70 bytes'
ACTINIA,'any sea anemone or related animal'
IMPERFECT,'a tense of verbs used in describing action that is on-going'
OVERUSE,'exploitation to the point of diminishing returns'
MUSTARD,'leaves eaten as cooked greens'
HOUSEKEEPER,'a servant who is employed to perform domestic task in a household'
MODERNITY,'the quality of being current or of the present
SCAREMONGER,'a person who spreads frightening rumors and stirs up trouble'
FILLAGREE,'delicate and intricate ornamentation (usually in gold or silver or other fine twisted wire)'
MYOPIA,'(ophthalmology) eyesight abnormality resulting from the eye\'s faulty refractive ability
AUTHORIZER,'an authority who authorizes (people or actions)
CUTBACK,'a reduction in quantity or rate'
FENCE,'a barrier that serves to enclose an area'
BATRACHIAN,'any of various tailless stout-bodied amphibians with long hind limbs for leaping
PODOCARP,'any evergreen in the southern hemisphere of the genus Podocarpus having a pulpy fruit with one hard seed'
TUBOCURARINE,'a toxic alkaloid found in certain tropical South American trees that is a powerful relaxant for striated muscles
MANDATOR,'an authority who issues a mandate'
PSYCHEDELIA,'the subculture of users of psychedelic drugs'
ZYMOSIS,the anaerobic breakdown of sugar into alcohol'
SCENERY,'the painted structures of a stage set that are intended to suggest a particular locale
ENLISTEE,'any new member or supporter (as in the armed forces)'
ANLAGE,'an organ in its earliest stage of development
BANDERILLA,'a decorated dart that is implanted in the neck or shoulders of the bull during a bull fight'
LILANGENI,'the basic unit of money in Swaziland
SLAYING,'unlawful premeditated killing of a human being by a human being'
MINIUM,'a reddish oxide of lead (Pb3O4) used as a pigment in paints and in glass and ceramics'
AUTOLOADER,'a firearm that reloads itself'
PROPJET,'an airplane with an external propeller that is driven by a turbojet engine'
RASCAL,'a deceitful and unreliable scoundrel'
METICULOSITY,'strict attention to minute details'
PASTOR,'a person authorized to conduct religious worship
BANNING,'an official prohibition or edict against something'
MACKINTOSH,'a waterproof raincoat made of rubberized fabric'
MIDSECTION,'the middle area of the human torso (usually in front)
SWEETLEAF,'small yellowwood tree of southern United States having small fragrant white flowers
INFORMALITY,'freedom from constraint or embarrassment
TUCKET,'(music) a short lively tune played on brass instruments
HELLERI,'freshwater fish of Central America having a long swordlike tail
EXPIRATION,'a coming to an end of a contract period
LUMBERYARD,'a workplace where lumber is stocked for sale'
SEISMOLOGIST,'a geophysicist who studies earthquakes and the mechanical characteristics of the Earth'
LIPEMIA,'presence of excess lipids in the blood'
QUEER,'offensive term for a homosexual man'
MAILLOT,'tights for dancers or gymnasts'
COYOL,'tropical American palm having edible nuts and yielding a useful fiber'
DIPOLE,'a pair of equal and opposite electric charges or magnetic poles separated by a small distance'
ARCELLA,'an amoeba-like protozoan with a chitinous shell resembling an umbrella'
OLIGO,'(biochemistry) a polynucleotide whose molecules contain relatively few nucleotides'
CONFUSEDNESS,'a mental state characterized by a lack of clear and orderly thought and behavior
CONVEYANCING,'act of transferring property title from one person to another'
LITERAL,'a mistake in printed matter resulting from mechanical failures of some kind'
CATGUT,'a strong cord made from the intestines of sheep and used in surgery'
TROCHE,'a medicated lozenge used to soothe the throat'
FOREWING,'either of the anterior pair of wings on an insect that has four wings'
NEURILEMOMA,'tumor of the fibrous covering of a peripheral nerve'
PHONEMICS,'the study of the sound system of a given language and the analysis and classification of its phonemes'
HOOPOE,'any of several crested Old World birds with a slender downward-curved bill'
LEMUR,'large-eyed arboreal prosimian having foxy faces and long furry tails'
VAISYA,'the third of the four varnas: the commoners or yeoman farmers or mercantile and professional category'
INVALIDITY,'illogicality as a consequence of having a conclusion that does not follow from the premisses'
HIPPOPOTAMUS,'massive thick-skinned herbivorous animal living in or around rivers of tropical Africa'
SISE,'the cardinal number that is the sum of five and one'
HYPONYMY,'the semantic relation of being subordinate or belonging to a lower rank or class'
AMORALIST,'someone who adheres to the doctrine that ordinary moral distinctions are invalid'
NAVVY,'a laborer who is obliged to do menial work'
MENISCUS,'(optics) a lens that is concave on one side and convex on the other'
FLOWING,'the motion characteristic of fluids (liquids or gases)'
CHIEFTAIN,'the leader of a group of people
GRANULATION,'the act of forming something into granules or grains
NEGATRON,'an elementary particle with negative charge'
MARTYR,'one who suffers for the sake of principle'
AMMONOID,'one of the coiled chambered fossil shells of extinct mollusks'
PURITAN,'someone who adheres to strict religious principles
PAVISE,'(Middle Ages) a large heavy oblong shield protecting the whole body
SPOILATION,'the act of stripping and taking by force'
SURFING,'the sport of riding a surfboard toward the shore on the crest of a wave'
ARGOSY,'one or more large merchant ships'
FRISSON,'an almost pleasurable sensation of fright
AMPUTATION,'a surgical removal of all or part of a limb'
POLARISCOPE,'an optical device used to measure the rotation of the plane of vibration of polarized light'
TRIGLYCERIDE,'glyceride occurring naturally in animal and vegetable tissues
BROADLOOM,'a carpet woven on a wide loom to obviate the need for seams'
SHAPELINESS,'the quality of having a well-rounded body'
PENTOSE,'any monosaccharide sugar containing five atoms of carbon per molecule'
OMNISCIENCE,'the state of being omniscient
SMOULDER,'a fire that burns with thick smoke but no flame
IRIDESCENCE,'the visual property of something having a milky brightness and a play of colors from the surface'
PLACE,'any area set aside for a particular purpose
AMORALISM,'the doctrine that moral distinctions are invalid'
DIASPORA,'the body of Jews (or Jewish communities) outside Palestine or modern Israel'
BONNETHEAD,'small harmless hammerhead having a spade-shaped head
METE,'a line that indicates a boundary'
CYMLING,'squash plant having flattened round fruit with a scalloped edge
UPCAST,'air passage consisting of a ventilation shaft through which air leaves a mine'
SHALLOWNESS,'lack of depth of knowledge or thought or feeling'
BAZAAR,'a shop where a variety of goods are sold'
INSECTIVORE,'any organism that feeds mainly on insects'
REPENTANCE,'remorse for your past conduct'
PANNIER,'set of small hoops used to add fullness over the hips'
TRIPPER,'a catch mechanism that acts as a switch
FROSTING,'a flavored sugar topping used to coat and decorate cakes'
PROWESS,'a superior skill that you can learn by study and practice and observation
DISPUTE,'a disagreement or argument about something important
WAVEFORM,'the shape of a wave illustrated graphically by plotting the values of the period quantity against time'
HECTOLITRE,'a metric unit of volume or capacity equal to 100 liters'
PENITENCE,'remorse for your past conduct'
PERILUNE,'periapsis in orbit around the moon'
OXYTONE,'word having stress or an acute accent on the last syllable'
PAGANISM,'any of various religions other than Christianity or Judaism or Islamism'
SOCIALISER,'a person who takes part in social activities'
PENTODE,'a thermionic tube having five electrodes'
WICKET,'a small arch used as croquet equipment'
TUBERCULIN,'a sterile liquid containing a purified protein derivative of the tuberculosis bacterium
VOYEUR,'a viewer who enjoys seeing the sex acts or sex organs of others'
NECROPSY,'an examination and dissection of a dead body to determine cause of death or the changes produced by disease'
RUPTUREWORT,'common prostrate Old World herb often used as a ground cover
FLAPPING,'the motion made by flapping up and down'
TOETOE,'used by Maoris for thatching'
DEINOCHEIRUS,'lightly built medium-sized theropod with long limbs and neck'
MINESWEEPING,'the activity of detecting and disposing of marine mines'
UROCHORD,'a notochord of a larval tunicate typically confined to the caudal region'
JOYFULNESS,'the emotion of great happiness'
CULTIVAR,'a variety of a plant developed from a natural species and maintained under cultivation'
STAKEOUT,'surveillance of some place or some person by the police (as in anticipation of a crime)'
BILBY,'bandicoot with leathery ears like a rabbit'
CHAMAELEON,'lizard of Africa and Madagascar able to change skin color and having a projectile tongue'
PRECEDENCE,'status established in order of importance or urgency
RUMPUS,'the act of making a noisy disturbance'
LEDGER,'a record in which commercial accounts are recorded
BRIDEGROOM,'a man who has recently been married'
PORTIERE,'a heavy curtain hung across a doorway'
MARASCA,'small bitter fruit of the marasca cherry tree from whose juice maraschino liqueur is made'
REPRINT,'a publication (such as a book) that is reprinted without changes or editing and offered again for sale'
NETBALL,'a team game that resembles basketball
DUGONG,'sirenian tusked mammal found from eastern Africa to Australia
EYEGLASS,'lens for correcting defective vision in one eye
MONOMANIA,'a mania restricted to one thing or idea'
WHEEDLER,'someone who tries to persuade by blandishment and coaxing'
VACUOLE,'a tiny cavity filled with fluid in the cytoplasm of a cell'
HANDEDNESS,'the property of using one hand more than the other'
DEBARKATION,'the act of passengers and crew getting off of a ship or aircraft'
PROPELLER,'a mechanical device that rotates to push against air or water'
ASCENDENCE,'the state that exists when one person or group has power over another
DELICACY,'the quality of being beautiful and delicate in appearance
BLOODWORT,'any of various plants of the family Haemodoraceae
GENTILITY,'elegance by virtue of fineness of manner and expression'
BASICS,'a statement of fundamental facts or principles'
THOUSAND,'the cardinal number that is the product of 10 and 100'
RUNWAY,'a chute down which logs can slide'
LOBULE,'a small lobe or subdivision of a lobe'
SQUADRON,'an air force unit larger than a flight and smaller than a group'
FEDERITA,'a Sudanese sorghum having exceptionally large soft white grains'
FEATHER,'the light horny waterproof structure forming the external covering of birds'
GENERIC,'any product that can be sold without a brand name'
BLOTTER,'absorbent paper used to dry ink'
CYBERNATION,'the control of processes by computer'
COAGULASE,'an enzyme that induces coagulation'
SLIPPER,'low footwear that can be slipped on and off easily
KOSHER,'food that fulfills the requirements of Jewish dietary law'
COMPOSURE,'steadiness of mind under stress
LYREBIRD,'Australian bird that resembles a pheasant
MANGINESS,'a lack of elegance as a consequence of wearing threadbare or dirty clothing'
WHOOPER,'common Old World swan noted for its whooping call'
NEUROGLIA,'sustentacular tissue that surrounds and supports neurons in the central nervous system
PAINTING,'graphic art consisting of an artistic composition made by applying paints to a surface
POGONOPHORAN,'slender animal with tentacles and a tubelike outer covering
WEEDKILLER,'a chemical agent that destroys plants or inhibits their growth'
PROLAPSUS,'the slipping or falling out of place of an organ (as the uterus)'
BLATANCY,'the property of being both obvious and offensive
CHERIMOYA,'large tropical fruit with leathery skin and soft pulp
ESCAPOLOGIST,'an entertainer who is expert in the art of escaping'
GRAPE,'any of various juicy fruit of the genus Vitis with green or purple skins
BAKLAVA,'rich Middle Eastern cake made of thin layers of flaky pastry filled with nuts and honey'
EYEWITNESS,'a spectator who can describe what happened'
PONDERER,'a reflective thinker characterized by quiet contemplation'
SOLENOID,'a coil of wire around an iron core
HALOBACTER,'halophiles in saline environments such as the Dead Sea or salt flats'
BASIDIOSPORE,'a sexually produced fungal spore borne on a basidium'
BRATTICE,'a partition (often temporary) of planks or cloth that is used to control ventilation in a mine'
STONING,'the act of pelting with stones
PHOTOGRAPH,'a representation of a person or scene in the form of a print or transparent slide or in digital format'
PRESEASON,'a period prior to the beginning of the regular season which is devoted to training and preparation'
PRONATION,'rotation of the hands and forearms so that the palms face downward'
RIGIDIFYING,'the process of becoming stiff or rigid'
CHAMBERPOT,'a receptacle for urination or defecation in the bedroom'
TURBIDNESS,'muddiness created by stirring up sediment or having foreign particles suspended'
COLOURING,'a digestible substance used to give color to food
OCCULTISM,'the study of the supernatural'
INVESTIGATOR,'a scientist who devotes himself to doing research'
FREETHINKER,'a person who rejects religion'
TELEPHONIST,'someone who helps callers get the person they are calling'
CRUCIFIXION,'the infliction of extremely painful punishment or suffering'
MOTE,'(nontechnical usage) a tiny piece of anything'
UREA,'the chief solid component of mammalian urine
NONAGENARIAN,'someone whose age is in the nineties'
UDDER,'mammary gland of bovids (cows and sheep and goats)'
UMLAUT,'a diacritical mark (two dots) placed over a vowel to indicate a change in sound in some languages'
ALDEHYDE,'any of a class of highly reactive chemical compounds
PHILIA,'a positive feeling of liking
AFTERIMAGE,'an image (usually a negative image) that persists after stimulation has ceased'
AMINOPYRINE,'a white crystalline substance used as an analgesic and antipyretic'
AKINESIA,'motionlessness attributable to a temporary paralysis'
CRACKERJACK,'something excellent of its kind
CREEPS,'a feeling of fear and revulsion
CONCERT,'a performance of music by players or singers not involving theatrical staging'
QUATERNARY,'the cardinal number that is the sum of three and one'
SMARTA,'one of a group of brahmans who uphold nonsectarian orthodoxy according to the Vedanta school of Hinduism'
MONETARIST,'an advocate of the theory that economic fluctuations are caused by increases or decreases in the supply of money'
FEVERFEW,'bushy aromatic European perennial herb having clusters of buttonlike white-rayed flower heads
HOMOZYGOSITY,'the state of being homozygous
SCAMMONYROOT,'tropical American prostrate or climbing herbaceous perennial having an enormous starchy root
JOLLINESS,'feeling jolly and jovial and full of good humor'
TERRARIUM,'a vivarium in which selected living plants are kept and observed'
ELBOW,'a sharp bend in a road or river'
METABOLISM,'the organic processes (in a cell or organism) that are necessary for life'
WEAKLING,'a person who is physically weak and ineffectual'
DERANGEMENT,'the act of disturbing the mind or body
HEDGER,'a gardener who takes care of and trims hedges'
COLORADILLO,'handsome shrub with showy orange to scarlet or crimson flowers
PERISTALSIS,'the process of wavelike muscle contractions of the alimentary tract that moves food along'
MARKER,'some conspicuous object used to distinguish or mark something
BOWING,'managing the bow in playing a stringed instrument
GOODWILL,'a disposition to kindness and compassion
MARINADE,'mixtures of vinegar or wine and oil with various spices and seasonings
HYPOCRISY,'an expression of agreement that is not supported by real conviction'
DIATHESIS,'constitutional predisposition to a particular disease or abnormality'
CHOCOLATE,'a beverage made from cocoa powder and milk and sugar
CROWING,'an instance of boastful talk
PAGAN,'a person who does not acknowledge your god'
BIOPSY,'examination of tissues or liquids from the living body to determine the existence or cause of a disease'
LINGUISTICS,'the scientific study of language'
ACEBUTOLOL,'an oral beta blocker (trade name Sectral) used in treating hypertension'
FEBRILITY,'a rise in the temperature of the body
CHICORY,'crisp spiky leaves with somewhat bitter taste'
APATOSAURUS,'huge quadrupedal herbivorous dinosaur common in North America in the late Jurassic'
GLYCOSURIA,'the presence of abnormally high levels of sugar in the urine'
METHANE,'a colorless odorless gas used as a fuel'
SPECIOUSNESS,'an appearance of truth that is false or deceptive
STEPPE,'extensive plain without trees (associated with eastern Russia and Siberia)'
CHANCERY,'a court with jurisdiction in equity'
HAEMOGLOBIN,'a hemoprotein composed of globin and heme that gives red blood cells their characteristic color
FINALIST,'a contestant who reaches the final stages of a competition'
GNAWER,'relatively small placental mammals having a single pair of constantly growing incisor teeth specialized for gnawing'
GRAVELWEED,'perennial herb with yellow flowers
FIREBIRD,'eastern subspecies of northern oriole'
OINK,'the short low gruff noise of the kind made by hogs'
VANDAL,'someone who willfully destroys or defaces property'
WHIPPING,'beating with a whip or strap or rope as a form of punishment'
LUTENIST,'a musician who plays the lute'
TAUTNESS,'lack of movement or room for movement'
BANNISTER,'a railing at the side of a staircase or balcony to prevent people from falling'
FUGITIVE,'someone who flees from an uncongenial situation
OXLIP,'Eurasian primrose with yellow flowers clustered in a one-sided umbel'
FINDING,usually by research or calculation
HABERDASHERY,'a store where men\'s clothes are sold'
PUCE,'a color varying from dark purplish brown to dark red'
HEARSE,'a vehicle for carrying a coffin to a church or a cemetery
GRAVITATION,'a figurative movement toward some attraction
SLICING,'the act of cutting into slices'
RUBICELLE,'a yellow or orange variety of ruby spinel'
ABSORBANCE,'(physics) a measure of the extent to which a substance transmits light or other electromagnetic radiation'
MOPBOARD,'a molding covering the joint formed by a wall and the floor'
VIOLIST,'a musician who plays the viola'
SUCCESSION,'a following of one thing after another in time
INFORMER,'one who reveals confidential information in return for money'
BLADDERPOD,'annual or perennial herbs with inflated seed pods
BOMBER,'a military aircraft that drops bombs during flight'
BEGINNING,'the event consisting of the start of something
PAPAYA,'large oval melon-like tropical fruit with yellowish flesh'
DIATOMITE,'a light soil consisting of siliceous diatom remains and often used as a filtering material'
CONFIRMATION,'additional proof that something that was believed (some fact or hypothesis or theory) is correct
SEQUENATOR,'(chemistry) an apparatus that can determine the sequence of monomers in a polymer'
GLUON,'a gauge boson that mediates strong interaction among quarks'
TERATOMA,'a tumor consisting of a mixture of tissues not normally found at that site'
TOMALLEY,'edible greenish substance in boiled lobster'
PROTEST,'a formal and solemn declaration of objection
EVENT,'something that happens at a given place and time'
THERMOGRAM,'a graphical record produced by a thermograph'
RILIEVO,'sculpture consisting of shapes carved on a surface so as to stand out from the surrounding background'
CUCURBIT,'any plant of the family Cucurbitaceae'
PANGA,'a large heavy knife used in Central and South America as a weapon or for cutting vegetation'
DENSIMETER,'a measuring instrument for determining density or specific gravity'
MAHJONG,'Chinese game played by 4 people with 144 tiles'
PADOUK,'tree native to southeastern Asia having reddish wood with a mottled or striped black grain'
LAAGER,'a camp defended by a circular formation of wagons'
SLANDERER,'one who attacks the reputation of another by slander or libel'
WOOLGATHERER,'someone who indulges in idle or absentminded daydreaming'
ASSESSOR,'an official who evaluates property for the purpose of taxing it'
COLLAPSE,'an abrupt failure of function or complete physical exhaustion
REBEL,'someone who exhibits great independence in thought and action'
ECHOLALIA,'an infant\'s repetition of sounds uttered by others'
LINSEED,'the seed of flax used as a source of oil'
SERVOSYSTEM,'control system that converts a small mechanical motion into one requiring much greater power
GROUP,'any number of entities (members) considered as a unit'
DEPRESSANT,'a drug that reduces excitability and calms a person'
EUCALYPTUS,'a tree of the genus Eucalyptus'
AALII,'a small Hawaiian tree with hard dark wood'
SYMBOLISING,'the act of representing something with a symbol'
VISAGE,'the appearance conveyed by a person\'s face
TWELVE,'the cardinal number that is the sum of eleven and one'
NAILER,'a worker who attaches something by nailing it'
PICOVOLT,'a unit of potential equal to one trillionth of a volt'
ANNEALING,'hardening something by heat treatment'
DISSYMMETRY,'(mathematics) a lack of symmetry'
DETECTOR,'rectifier that extracts modulation from a radio carrier wave'
SQUASH,'edible fruit of a squash plant
VALISE,'a small overnight bag for short trips'
HOLMIUM,'a trivalent metallic element of the rare earth group
MALEFACTOR,'someone who has committed a crime or has been legally convicted of a crime'
BANDING,'a stripe or stripes of contrasting color
BUILDUP,'the act of building up an accumulation
DECIMAL,'a number in the decimal system'
GOOSANDER,'common merganser of Europe and North America'
WIESENBODEN,'a dark meadow soil rich in organic material
DARNER,'a person who mends by darning'
BOOT,'footwear that covers the whole foot and lower leg'
TOKE,'a puff of a marijuana or hashish cigarette
RIATA,'a long noosed rope used to catch animals'
SPOROPHYTE,'the spore-producing individual or phase in the life cycle of a plant having alternation of generations'
HARTEBEEST,'a large African antelope with lyre-shaped horns that curve backward'
LIGER,'offspring of a male lion and a female tiger'
SIGNALMAN,'a railroad employee in charge of signals and point in a railroad yard'
RATEL,'nocturnal badger-like carnivore of wooded regions of Africa and southern Asia'
LEONCITA,'small South American marmoset with silky fur and long nonprehensile tail'
TUSSORE,'oriental moth that produces brownish silk'
SILENCER,'short tube attached to the muzzle of a gun that deadens the sound of firing'
GLUMNESS,'a gloomy ill-tempered feeling'
ALKALI,'a mixture of soluble salts found in arid soils and some bodies of water
ANTIFREEZE,'a liquid added to the water in a cooling system to lower its freezing point'
LOAM,'a rich soil consisting of a mixture of sand and clay and decaying organic materials'
ARRIVER,'someone who arrives (or has arrived)'
LACE,'a delicate decorative fabric woven in an open web of symmetrical patterns'
CLOISONNE,'enamelware in which colored areas are separated by thin metal strips'
QUIPU,'calculator consisting of a cord with attached cords
KEISTER,'the fleshy part of the human body that you sit on
FINALITY,'the quality of being final or definitely settled
SPATIALITY,'any property relating to or occupying space'
NOISINESS,'the auditory effect characterized by loud and constant noise'
EPENDYMA,'thin epithelial membrane lining the ventricles of the brain and the spinal cord canal'
DESSIATINE,'a former Russian unit of area equal to 2.7 acres'
CAFFEINISM,'poisoning resulting from excessive intake of caffeine containing products'
INESSENTIAL,'anything that is not essential
WATTAGE,'the product of voltage and current'
FORTUITY,'anything that happens suddenly or by chance without an apparent cause
SACRISTY,'a room in a church where sacred vessels and vestments are kept or meetings are held'
ACARACIDE,'a chemical agent used to kill mites'
FILENAME,'(computer science) the name given to a computer file in order to distinguish it from other files
MORTALITY,'the quality or state of being mortal'
MEGATHERIAN,'a large extinct ground sloth'
GYRE,'a round shape formed by a series of concentric circles (as formed by leaves or flower petals)'
PLETHODONT,'mostly terrestrial salamanders that breathe through their thin moist skin
MYTILID,'marine bivalve mollusk having a dark elongated shell
POMPADOUR,'a hair style in which the front hair is swept up from the forehead'
MOONWORT,'of America and Eurasia and Australia'
